id,combo,category,name,fileName,planType,includeType,inferredPlan,inferredIncludeType,issues,combinations
"695e661ea4cccb2f54de6607","sharefile-to-google-mydrive","content","ShareFile to Google MyDrive Advanced Plan - Advanced Not Included","ShareFile to Google MyDrive Advanced Plan - Advanced Not Included.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""sharefile-to-google-mydrive"",""all""]"
"695f65268d84acb0d1e61a37","onedrive-to-google-mydrive","content","OneDrive to Google MyDrive Standard Plan - Standard Include","OneDrive to Google MyDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""onedrive-to-google-mydrive"",""all""]"
"695f65268d84acb0d1e61a38","onedrive-to-google-mydrive","content","OneDrive to Google MyDrive Standard Plan - Standard Not Include","OneDrive to Google MyDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""onedrive-to-google-mydrive"",""all""]"
"695f6a26a70348a8d5e956a8","onedrive-to-onedrive","content","OneDrive to OneDrive Standard Plan - Not Included Features","onedrive-to-onedrive-standard-plan-notincluded.docx","","","standard","notincluded","missing_planType|missing_includeType","[""onedrive-to-onedrive"",""all""]"
"695f6a26a70348a8d5e956a9","onedrive-to-onedrive","content","OneDrive to OneDrive Advanced Plan - Advanced Include","OneDrive to OneDrive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""onedrive-to-onedrive"",""all""]"
"695f6a26a70348a8d5e956aa","onedrive-to-onedrive","content","OneDrive to OneDrive Advanced Plan - Advanced Not Include","OneDrive to OneDrive Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""onedrive-to-onedrive"",""all""]"
"695f6caedb1e3b250edc8a74","onedrive-to-google-mydrive","content","OneDrive to Google MyDrive Advanced Plan - Advanced Include","OneDrive to Google MyDrive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""onedrive-to-google-mydrive"",""all""]"
"695f6caedb1e3b250edc8a75","onedrive-to-google-mydrive","content","OneDrive to Google MyDrive Advanced Plan - Advanced Not Include","OneDrive to Google MyDrive Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""onedrive-to-google-mydrive"",""all""]"
"695f6ec09ebab1306b101f7f","nfs-to-microsoft","content","NFS to SharePoint Online Standard Plan - Standard Include","NFS to SharePoint Online Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""nfs-to-microsoft"",""all""]"
"695f6ec09ebab1306b101f80","nfs-to-microsoft","content","NFS to SharePoint Online Standard Plan - Standard Not Include","NFS to SharePoint Online Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""nfs-to-microsoft"",""all""]"
"695f7141036b9e315ad4387c","nfs-to-microsoft","content","NFS to SharePoint Online Advanced Plan - Advanced Include","NFS to SharePoint Online Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""nfs-to-microsoft"",""all""]"
"695f7141036b9e315ad4387d","nfs-to-microsoft","content","NFS to SharePoint Online Advanced Plan - Advanced Not Include","NFS to SharePoint Online Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""nfs-to-microsoft"",""all""]"
"695f7a1be1fead4fd516f226","nfs-to-microsoft","content","NFS to OneDrive Standard Plan - Standard Include","NFS to OneDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""nfs-to-microsoft"",""all""]"
"695f7a1be1fead4fd516f227","nfs-to-microsoft","content","NFS to OneDrive Standard Plan - Standard Not Include","NFS to OneDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""nfs-to-microsoft"",""all""]"
"6960819a8bb27fcc9a384bf9","slack-to-google-chat","messaging","Slack to Google Chat Advanced Plan - Advanced Include","Slack to Google Chat Advanced Plan - Advanced Include.docx","","included","advanced","included","missing_planType","[""slack-to-google-chat"",""all""]"
"6960819a8bb27fcc9a384bfa","slack-to-google-chat","messaging","Slack to Google Chat Advanced Plan - Advanced Not Include","Slack to Google Chat Advanced Plan - Advanced Not Include.docx","","notincluded","advanced","notincluded","missing_planType","[""slack-to-google-chat"",""all""]"
"6960855cf30deb251a707d1d","nfs-to-google","content","NFS to Google Shared Drive Advanced Plan - Advanced Include","NFS to Google Shared Drive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""nfs-to-google"",""all""]"
"6960855cf30deb251a707d1e","nfs-to-google","content","NFS to Google Shared Drive Advanced Plan - Advanced Not Include","NFS to Google Shared Drive Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""nfs-to-google"",""all""]"
"696099bc46a4280f356f934f","nfs-to-google","content","NFS to Google Shared Drive Standard Plan - Standard Include","NFS to Google Shared Drive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""nfs-to-google"",""all""]"
"696099bc46a4280f356f9350","nfs-to-google","content","NFS to Google Shared Drive Standard Plan - Standard Not Include","NFS to Google Shared Drive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""nfs-to-google"",""all""]"
"69609b347990d8f5a5ebe9b9","nfs-to-google","content","NFS to Google MyDrive Standard Plan - Standard Include","NFS to Google MyDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""nfs-to-google"",""all""]"
"69609b347990d8f5a5ebe9ba","nfs-to-google","content","NFS to Google MyDrive Standard Plan - Standard Not Include","NFS to Google MyDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""nfs-to-google"",""all""]"
"69609ce647c07139a4ebe4f7","nfs-to-google","content","NFS to Google MyDrive Advanced Plan - Advanced Include","NFS to Google MyDrive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""nfs-to-google"",""all""]"
"69609ce647c07139a4ebe4f8","nfs-to-google","content","NFS to Google MyDrive Advanced Plan - Advanced Not Include","NFS to Google MyDrive Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""nfs-to-google"",""all""]"
"69609f072e021e883a77d772","all","content","SharePoint to SharePoint Online Advanced Plan - Advanced Include","SharePoint to SharePoint Online Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""all""]"
"69609f072e021e883a77d773","all","content","SharePoint to SharePoint Online Advanced Plan - Advanced Not Include","SharePoint to SharePoint Online Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""all""]"
"6960a03303f2be2e2efb5876","google-mydrive-to-sharepoint","content","Google MyDrive to SharePoint Online Standard Plan - Standard Include","Google MyDrive to SharePoint Online Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""google-mydrive-to-sharepoint"",""all""]"
"6960a03303f2be2e2efb5877","google-mydrive-to-sharepoint","content","Google MyDrive to SharePoint Online Standard Plan - Standard Not Include","Google MyDrive to SharePoint Online Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""google-mydrive-to-sharepoint"",""all""]"
